sku,ean,fuente,nombre,marca
FC-53382522,,ewafra,Butilhioscina Tabletas de 10 Mg C/ 10,
FC-60105300,,ewafra,Butilhioscina/ibuprofeno 200/400 Caja 10,
FC-04402477,,ewafra,Buvacaina 0.75% 30 ml Caja 1,
FC-97473848,,ewafra,Buvacaina de 150 Mg 30 ml (pieza),
FC-64186261,,ewafra,Buvacaina Pesada de 3 ml Amp Caja 5,
FC-26577092,,ewafra,Cal Calcica Amsorb 4.5 Kgs Cal Sodad,
FC-51227686,,ewafra,Camisa para Vacutainer Holder 368872,
FC-74393437,,ewafra,Camisa para Vacutainer Luer-lok 36490200,
FC-17378258,,ewafra,Campana P/circuncision 11 mm K-171-1,
FC-24898610,,ewafra,Campana P/circuncision 12 mm K-171-2,
FC-34155877,,ewafra,Campana P/circuncision 13 mm K-171-3,
FC-67306566,,ewafra,Campo Dental Multicolor 33 x 45cm Caja 100,
FC-21986915,,ewafra,Campo Dental Multicolor 33 x 45cm Caja 50,
FC-32351280,,ewafra,Campo Dental Negro 33 x 45cm Caja 100 Ambiderm,Ambiderm
FC-39476341,,ewafra,Campo Esteril de 60 x 70 Ambiderm Pieza,Ambiderm
FC-55860291,,ewafra,Canula Yankahuer C/tubo de Aspiracion,
FC-11570990,,ewafra,Capent Tubo de 110g,
FC-83293016,,ewafra,Captopril 25 Mg Caja 30,
FC-58513477,,ewafra,Cardinit 10 Mg Parche Caja 7,
FC-72819476,,ewafra,Cardinit 5 Mg Parche Caja 7,
FC-45883622,,ewafra,Cardispan Amp 1g/ 5ml Caja 5,
FC-00835200,,ewafra,Cateter Incath 14 x 46 Cafe Dl Caja 50,Dl
FC-42026498,,ewafra,Cateter Incath 18 x 30 Verde Dl Caja 50,Dl
FC-41865112,,ewafra,Cateter Incath 20 x 30 Rosa Dl Caja 50,Dl
FC-43466292,,ewafra,Cateter Incath 22 x 25 Azul Dl Caja 50,Dl
FC-04977153,,ewafra,Cateter Incath 24 x 19 Amarillo Dl Caja 50,Dl
FC-83290893,,ewafra,Cateter Insyte 14g x 1.75 Caja 50 381267,
FC-50191389,,ewafra,Cateter Insyte 16g x 1.77 Caja 50 381257,
FC-74127461,,ewafra,Cateter Insyte 18g x 1.00 Caja 50 388317,
FC-54848944,,ewafra,Cateter Insyte 20g x 1.16 Caja 50 388314,
FC-54380558,,ewafra,Cateter Insyte 22g x 25mm (1´) Caja 50 388312,
FC-08695373,,ewafra,Cateter Insyte 24g x 19mm (3/4) Caja 50 388311,
FC-52499485,,ewafra,Cateter Int Dlp Pol 14g 46-52 mm /50,
FC-42382141,,ewafra,Cateter Int Dlp Pol 18g 24-34 mm /50,
FC-92049284,,ewafra,Cateter Int Dlp Pol 20g x 28-34mm Caja 50,
FC-08826903,,ewafra,Cateter Int Dlp Pol 22g x 23-27mm Caja 50,
FC-25604522,,ewafra,Cateter Int Dlp Pol 24g x 17-24mm Caja 50,
FC-83304750,,ewafra,Cateter Int Nipro 18g x 32mm Verde Caja 50,Nipro
FC-69286169,,ewafra,Cateter Int Nipro 20g x 32mm Rosa Caja 50,Nipro
FC-07322467,,ewafra,Cateter Int Nipro 22g x 25mm Azul Caja 50,Nipro
FC-34398293,,ewafra,Cateter Int Nipro 24g x 19mm Amar. Caja 50,Nipro
FC-14340975,,ewafra,Cateter Int Pisa 26 x 19 Morado Pieza,
FC-87719683,,ewafra,Cateter Punzocath 14g x 45mm Caja 50,
FC-38104040,,ewafra,Cateter Punzocath 16g x 45mm Caja 50,
FC-84905294,,ewafra,Cateter Punzocath 17g x 38mm Caja 50,
FC-82246357,,ewafra,Cateter Punzocath 18g x 25mm Caja 50 1825,
FC-68828713,,ewafra,Cateter Punzocath 19g x 19mm Caja 50,
FC-59456726,,ewafra,Cateter Punzocath 20g x 19mm Caja 50,
FC-92751177,,ewafra,Cateter Punzocath 22g x 25mm Caja 50,
FC-23079601,,ewafra,Cateter Punzocath 23g x 19mm Caja 50 2319,
FC-46892572,,ewafra,Cateter Punzocath 24g x 14mm Caja 50,
FC-82589498,,ewafra,Cateter Punzocath 24g x 20mm Caja 50 2420,
FC-78015752,,ewafra,Cateter Ven.ce. 2l 7frx20 C/r Cs-17702-e,
FC-09658373,,ewafra,Cateter Ven.cen. 3 Lum. 7frx20 Cs-15703,
