ean,sku,marca,nombre,nombre_lista
7703281020011,FC-81020011,Italmex,Lumed Serum Solución con,LUMED SERUM SOLUCIÓN CON 20ML
7703281002147,FC-81002147,Italmex,Mousse Ma'at Tono 1 X,MOUSSE MA'AT TONO 1 X 25G
7703281002154,FC-81002154,Italmex,Mousse Ma'at Tono 2 X,MOUSSE MA'AT TONO 2 X 25G
7703281002161,FC-81002161,Italmex,MOUSSE MA'AT TONO 3 x,MOUSSE MA'AT TONO 3 x 25 gr
7501390912827,FC-90912827,Italmex,Proalid 0.03 %,PROALID 0.03 % UNGUENTO 15GR
7501390912803,FC-90912803,Italmex,Proalid 0.1%,PROALID 0.1% UNGUENTO 15GR
7703281000679,FC-81000679,Italmex,Procicar Nf,PROCICAR NF CREMA 60GR
7703281002369,FC-81002369,Italmex,Umbrella SPF50+ Compacto Durazno,UMBRELLA SPF50+ COMPACTO DURAZNO 11GR
7703281001942,FC-81001942,Italmex,Ureaderm Espuma,UREADERM ESPUMA 150ML
7703281001935,FC-81001935,Italmex,Yeux Contorno de Ojos X,YEUX CONTORNO DE OJOS X 20 G
3337875650786,FC-75650786,La Roche-Posay,Anthelios 100 Ka+,ANTHELIOS 100 KA+CREMA 50ML
3337875761123,FC-75761123,La Roche-Posay,Anthelios Leche Hidratante FPS 50+,ANTHELIOS LECHE HIDRATANTE FPS50+  250ML
3337875876407,FC-75876407,La Roche-Posay,Eff Gel Mouss Refill P400 ml Int 23,EFF GEL MOUSS REFILL P400ML INT 23
3337875583589,FC-75583589,La Roche-Posay,Hyalu B5,HYALU B5 CREMA 40ML
3337875583626,FC-75583626,La Roche-Posay,Hyalu B5 Serum,HYALU B5 SERUM 30ML
3337875760201,FC-75760201,La Roche-Posay,Hyalu B5 Serum Aquagel FPS 30,Hyalu B5 Serum Aquagel FPS30
7509552535556,FC-52535556,La Roche-Posay,Kit-Effaclar Az Gel Crema 40 ml+effaclar Gel Microexfoliante 15 ml+anthelios UV Mune FPS 50+ Control,KIT-EFFACLAR AZ GEL CREMA 40ML+EFFACLAR GEL MICROEXFOLIANTE 15ML+ANTHELIOS UV MUNE FPS50+ CONTROL FLUIDO 50ML
