ean,nombre,marca,costo_derma,costo_bio_sin_iva,costo_bio_con_iva,pvp_ref,disp_derma,disp_bio_web,semaforo_derma,ganador_costo,precio_fc_derma_mas25,precio_fc_bio_mas25
3337875597388,CeraVe Crema hidratante facial y corporal 453 ml,Cerave,411.0,330.0,382.8,549.0,1,no,AMARILLO,Bioinstrumental,514,479
3337875597395,CeraVe Loción hidratante para piel seca 473 ml 473ml,Cerave,411.0,335.0,388.6,549.0,1,no,AMARILLO,Bioinstrumental,514,486
3337875598996,CeraVe Crema hidratante facial y corporal 170 ml 170gr,Cerave,236.0,200.0,232.0,315.0,1,no,AMARILLO,empate,295,290
3337875684101,CeraVe SA Crema alisadora antirugosidades corporal 340 ml,Cerave,486.0,400.0,464.0,649.0,1,no,AMARILLO,Bioinstrumental,608,580
3337875782357,CeraVe Gel control de imperfecciones 40 ml,Cerave,396.0,410.0,475.6,529.0,1,no,AMARILLO,Dermaexpress,495,595
3337875784054,CeraVe Limpiador control de imperfecciones 236 ml,Cerave,359.0,295.0,342.2,479.0,1,no,AMARILLO,Bioinstrumental,449,428
3337875797597,La Roche-Posay Protector Solar Anthelios UVMune FPS50+ Fluido invisible para piel sensible y mixta 50 ml,La Roche Posay,599.0,505.0,585.8,799.0,0,no,AMARILLO,empate,749,733
3337875890069,La Roche-Posay Mela B3 Cleanser Dermolimpiador anti-manchas 200 ml,La Roche Posay,561.0,530.0,614.8,749.0,1,no,AMARILLO,Dermaexpress,702,769
3337875904292,Cerave Loción Hidratante Intensiva con Ceramidas y Ácido Hialurónico 236 ml,Cerave,374.0,400.0,464.0,499.0,1,no,AMARILLO,Dermaexpress,468,580
3337875905596,Cerave Gel Espumoso Refill (16 oz) Limpiador para piel normal a grasa 473 ml,Cerave,389.0,450.0,522.0,519.0,1,no,AMARILLO,Dermaexpress,487,653
3337875905633,CeraVe Loción Hidratante Refill 473 ml,Cerave,336.0,350.0,406.0,449.0,1,no,AMARILLO,Dermaexpress,420,508
3337875909525,CeraVe Oil Control Gel-crema hidratante piel mixta a grasa 52 ml,Cerave,411.0,485.0,562.6,549.0,1,no,AMARILLO,Dermaexpress,514,704
3337875917810,"La Roche-Posay Protector Solar Anthelios UV Air FPS 50+ Fluido ligero invisible oil-free para piel sensible, mixta y grasa 40 ml",La Roche Posay,411.0,430.0,498.8,549.0,0,no,AMARILLO,Dermaexpress,514,624
3337875924887,Effaclar Duo+M anti-imperfecciones 22 Parches,La Roche Posay,300.0,350.0,406.0,400.0,0,no,AMARILLO,Dermaexpress,375,508
3337875925358,CeraVe Limpiador Air Foam Reequilibrante con Aminoácidos y Ceramidas 148 ml,Cerave,299.0,320.0,371.2,399.0,1,no,AMARILLO,Dermaexpress,374,464
3401353791220,Bioderma Sébium Gel Moussant Limpiador anti-imperfecciones 100 ml,Bioderma,239.0,250.0,290.0,299.0,1,no,ROJO,Dermaexpress,299,363
3401395461082,Bioderma Sébium Pain Barra limpiadora para piel mixta a grasa 100 gr,Bioderma,183.0,135.0,156.6,229.0,1,no,ROJO,Bioinstrumental,229,196
3401397163618,Bioderma ABCDerm Gel Moussant Limpiador para bebé 1 L,Bioderma,535.0,500.0,580.0,669.0,1,no,ROJO,Dermaexpress,669,725
3466320012838,Cetaphil Crema hidratante para piel sensible 453 gr,Cetaphil,420.0,370.0,429.2,560.0,1,no,AMARILLO,empate,525,537
3499320001328,Galderma Benzac AC Gel 5% tratamiento anti acné 60 gr,Galderma,282.0,295.0,342.2,403.0,1,no,AMARILLO,Dermaexpress,353,428
3499320002394,Galderma Benzac AC Gel 2.5% Tratamiento para pieles con acné 60 gr,Galderma,266.0,285.0,330.6,380.0,1,no,AMARILLO,Dermaexpress,333,414
3499320004497,Cetaphil PRO AC Dermacontrol Espuma limpiadora facial para piel grasa 236 ml,Cetaphil,552.0,420.0,487.2,,1,no,SIN_REF,Bioinstrumental,690,609
3499320008341,Cetaphil Barra limpiadora profunda para piel sensible 127 gr,Cetaphil,216.0,180.0,208.8,,1,no,SIN_REF,Bioinstrumental,270,261
3499320009775,Cetaphil Espuma limpiadora facial suave 236 ml,Cetaphil,376.0,370.0,429.2,502.0,1,no,AMARILLO,Dermaexpress,470,537
