sku,nombre,categoria,tipo,codigo_barras,costo_compra,precio_venta_fc,margen_bruto_pct,markup_sobre_costo_pct,precio_teorico_costo_x1_6,dif_vs_teorico_pct,precio_similares,precio_del_ahorro,precio_exprezo,ref_mercado_min,dif_vs_mercado_pct,fecha_ref_competencia
FC-95451096,Sal de uvas,Otro,generico,7501095451096,37.9,51.17,25.9,35.0,60.64,-15.6,,,,,,
FC-95467264,Sal de Uvas Ixh C/50,Producto,marca,7501095467264,163.5,261.61,37.5,60.0,261.6,0.0,,,,,,
FC-79400556,Sanfer Syncol,Otro,marca,7501079400556,107.4,139.62,23.1,30.0,171.84,-18.8,,,,,,
FC-84095411,Saridon,Otro,marca,75010084095411,64.75,84.18,23.1,30.0,103.6,-18.7,,,,,,
FC-06249226,Savile Bio-Sab Creci Res,Higiene,marca,7506306249226,40.66,57.0,28.7,40.2,65.06,-12.4,,,,,,
FC-06249240,Savile Ker-Sab Fza Repar,Higiene,marca,7506306249240,40.66,57.0,28.7,40.2,65.06,-12.4,,,,,,
FC-85592111,Scabisan,Producto,marca,75010885592111,194.6,311.36,37.5,60.0,311.36,0.0,,,,,,
FC-06234062,Sedal Anti Nudos,Cuidado personal,marca,7506306234062,50.07,71.0,29.5,41.8,80.11,-11.4,,,,,,
FC-06249776,Sedal Ceramidas Inf-Act,Higiene,marca,7506306249776,16.88,24.0,29.7,42.2,27.01,-11.1,,,,,,
FC-56342258,Sedal Recons Estructur,Cuidado personal,marca,7501056342258,17.77,28.44,37.5,60.0,28.43,0.0,,,,,,
FC-06249783,Sedal Rizos Def Inf-Act,Higiene,marca,7506306249783,19.11,27.0,29.2,41.3,30.58,-11.7,,,,,,
FC-56340131,Sedal Rizos Obedie,Cuidado personal,marca,7501056340131,50.07,71.0,29.5,41.8,80.11,-11.4,,,,,,
FC-56342227,Sedal Rizos Obedientes,Cuidado personal,marca,7501056342227,9.08,13.0,30.2,43.2,14.53,-10.5,,,,,,
FC-56340124,Sedal Sos Ceramida,Cuidado personal,marca,7501056340124,50.07,71.0,29.5,41.8,80.11,-11.4,,,,,,
FC-56340025,Sedal Sos Recon-Estru,Cuidado personal,marca,7501056340025,50.07,71.0,29.5,41.8,80.11,-11.4,,,,,,
FC-14704156,Senosiain Supos Adto C/10,Otro,marca,7501314704156,58.96,94.34,37.5,60.0,94.34,0.0,,,,,,
FC-14704163,Senosiain Supos Ine C/10,Otro,marca,7501314704163,63.4,102.0,37.8,60.9,101.44,0.6,,,,,,
FC-09498091,Sensodyne Complet + Acc Lim Efec,Botiquín,marca,7896009498091,70.91,107.0,33.7,50.9,113.46,-5.7,,,,,,
FC-09419324,Sensodyne Original,Higiene,marca,7896009419324,70.91,100.0,29.1,41.0,113.46,-11.9,,,,,,
FC-40171550,Sensodyne rápido alivio,Higiene,marca,7794640171550,106.44,150.0,29.0,40.9,170.3,-11.9,,,,,,
FC-98100381,Shampoo Herklin,Higiene,marca,75010898100381,128.8,206.09,37.5,60.0,206.08,0.0,,,,,,
