sim_sku,descripcion,marca,precio,linea,jerarquia,forma,cantidad,concentraciones,ingredientes,link,fuente
768,NEOMICINA / RETINOL (VITAMINA A) UNGÜENTO 28 GR 1 PIEZA,,31.0,Dermatológico,Cuidado de la piel y belleza,unguento,1,28000mg,neomicina + retinol,https://www.farmaciasdesimilares.com/neomicina_vit_a_unguento_28gr/p,vtex
72,CLOTRIMAZOL 2/100GR 20GR CREMA VAGINAL,,49.0,Antimicótico,Medicamentos,crema,,100000mg 20000mg,clotrimazol,https://www.farmaciasdesimilares.com/clotrimazol_2_100gr_20gr_crema_vaginal/p,vtex
54,CARBAMAZEPINA 200 MG 20 TABLETAS,,36.0,Anticonvulsivo,Medicamentos,tableta,20,200mg,carbamazepina,https://www.farmaciasdesimilares.com/carbamazepina_200mg_20tab/p,vtex
530,CASTAÑA DE INDIAS 250 MG 30 CAPSULAS,,89.0,Circulatorio,Suplementos y multivitamínicos,capsula,30,250mg,castana,https://www.farmaciasdesimilares.com/castana_de_indias_30cap/p,vtex
5,ACICLOVIR 50MG/1GR CREMA 5 GR 1 PIEZA,,35.0,Dermatológico,Cuidado de la piel y belleza,crema,1,1000mg 5000mg 50mg,aciclovir,https://www.farmaciasdesimilares.com/aciclovir_50mg_1gr_crema_5gr/p,vtex
419,PALETAS DE MIEL DE ABEJA SABOR MIEL / LIMON / HERBAL PALETOSIMI 16 PIEZAS,,44.0,Gripa y tos,Aparato respiratorio,paleta,16,,paletas + limon + paletosimi,https://www.farmaciasdesimilares.com/paletas_miel_de_abeja_16pzas_paletosimi/p,vtex
3391,SUERO (SERUM) CON RETINOL 0.15% ETERNAL SECRET 30ML 1 PIEZA,,129.0,Belleza,Cuidado de la piel y belleza,,1,30ml,suero + retinol,https://www.farmaciasdesimilares.com/eternal_secret_serum_retinol_0_15_30ml_eternal_sec/p,vtex
3386,ORLISTAT / L CARNITINA 60/200MG 21 CAPSULAS,,239.0,Peso y metabolismo,Peso y metabolismo,capsula,21,200mg,orlistat + carnitina,https://www.farmaciasdesimilares.com/orlistat_l_carniti_60_200mg_21cap/p,vtex
3186,GEL LUBRICANTE CORPORAL COMESTIBLE CON SABOR Y OLOR 1 PIEZA,,79.0,Gel lubricante,Salud sexual,gel,1,,comestible,https://www.farmaciasdesimilares.com/gel_lubricante_corporal_comestible/p,vtex
2949,CLORHEXIDINA ENJUAGUE BUCAL SIN ALCOHOL 200 ML 1 PIEZA,,339.0,Higiene,"Higiene, curación y diagnóstico",,1,200ml,clorhexidina,https://www.farmaciasdesimilares.com/clorhexidina_enjuague_buc_s_alc_200ml/p,vtex
2790,SIMI PZ VALERIANA 250 MG OFFICINALIS 30 CAPSULAS,,89.0,Relajante,Suplementos y multivitamínicos,capsula,30,250mg,,https://www.farmaciasdesimilares.com/simipz_valeriana_250mg_30cap/p,vtex
2451,ASTAXANTINA / COLAGENO HIDROLIZADO  40/200 MG 30 CAPSULAS ETERNAL SECRET,,269.0,Belleza,Suplementos y multivitamínicos,capsula,30,200mg,astaxantina + colageno,https://www.farmaciasdesimilares.com/eternal_secret_astaxantina_colag_30cap_eternal_secret/p,vtex
2352,CIMICIFUGA RACEMOSA / VITAMINAS / ISOFLAVONAS DE SOYA 30 CAPSULAS GELATINA BLANDA,,107.0,Multivitamínicos,Suplementos y multivitamínicos,capsula,30,,cimicifuga + isoflavonas,https://www.farmaciasdesimilares.com/cimicifuga_vit_isoflav_30capgel/p,vtex
