sku,ticket,linea,nombre_original,nombre_nuevo,marca,presentacion,principio_activo,concentracion,forma_farmaceutica
FC-BDB2E087,440393,161,IRBESARTAN 14 TAB 300 MG,Irbesartan,,14 TABLETAS,IRBESARTAN,300 MG,TABLETAS
FC-759A5EF9,440393,162,WERMY 30 CAPS 300 MG,Wermy,,30 CAPSULAS,WERMY,300 MG,CAPSULAS
FC-52844825,77827,1,Desod Obao R-Nat Coco R-On 65G,R-Nat Coco R-On,Obao,65 G,,,
FC-52933307,77827,2,Desod Obao Game 48Hr R-On 65G N,Game 48Hr R-On N,Obao,65 G,,,
FC-27250612,77827,3,Desod Obad P/Del R-On 65G,P/Del R-On,Obad,65 G,,,
FC-27286017,77827,4,Desod Obao Clas R-On 65G,Clas R-On,Obao,65 G,,,
FC-52876406,77827,5,Desod Obao Men Tatto Aqua R-On 65G,Men Tatto Aqua R-On,Obao,65 G,,,
FC-30622622,77827,6,Desod Axe Men Young Spy 150Ml,Men Young Spy,Axe,150 ML,,,
FC-06213906,77827,7,Desod Axe Icechi E-Frio Spy 150Ml,Icechi E-Frio Spy,Axe,150 ML,,,
FC-93037806,77827,8,Desod Rexona Men Marine Spy 150Ml,Men Marine Spy,Rexona,150 ML,,,
FC-55280956,77827,9,Desod Obao Men Tato Rebel R-On65,Men Tato Rebel R-On65,Obao,,,,
FC-93025919,77827,10,Desod Axe Excite Seco Spy 152Ml,Excite Seco Spy,Axe,152 ML,,,
FC-93022567,77827,11,Desod Rexona Men V8 Tun Spy 90G,Men V8 Tun Spy,Rexona,90 G,,,
FC-06244795,77827,12,Desod Axe Intense 48H Spy 150Ml,Intense 48H Spy,Axe,150 ML,,,
FC-75076009,77827,13,Desod Rexona 48H Happy-M Stick 45G,48H Happy-M Stick,Rexona,45 G,,,
FC-93025797,77827,14,Desod Axe Men Dark Temp Spy150Ml,Men Dark Temp Spy150Ml,Axe,,,,
FC-93038223,77827,15,Desod Rexona Men Sport Spy 150Ml,Men Sport Spy,Rexona,150 ML,,,
FC-75062897,77827,16,Desod Rexona Bamboo 48H Stick 45G,Bamboo 48H Stick,Rexona,45 G,,,
FC-06245686,77827,17,Desod Axe Men Epic-F 48H Spy 150Ml,Men Epic-F 48H Spy,Axe,150 ML,,,
FC-93025865,77827,18,Desod Axe Men Gold Temp,Men Gold Temp,Axe,,,,
FC-22105207,77827,19,Jbn Grisi Neutro 150 G,Grisi Neutro,,150 G,,,
