sku,barcode,ticket,sev,costo_ticket,costo_inv,precio_actual,precio_corr,nombre
FC-62746698,7500462746698,FL-080826,grave,58.90,7.45,9.69,80.00,Ajolotius Jarabe Reforzado 250 Ml Bioalimentos Nat: Ajolotiu
FC-41500096,7501441500096,77827,grave,31.77,80.46,128.74,48.00,Tiraleche De Cristal 1 Pza
FC-46073156,7509546073156,77827,grave,29.31,75.70,121.12,42.00,Sh Caprice Nat Mzna 380 Ml
FC-40025839,650240025839,77827,grave,63.05,17.20,27.52,89.00,Sh Int Lomecan V 200Ml
FC-38891190,067238891190,77827,grave,15.10,60.54,96.87,22.00,Jbn Dove Barra Blanca
FC-09419324,7896009419324,77827,grave,70.91,26.38,42.21,100.00,Cd Sensodyne Original
FC-06247468,7506306247468,77827,grave,17.54,62.04,99.27,25.00,Gel Ego Fresh C-Cas Fij-Alt 200Ml
FC-36040450,037836040450,77827,grave,43.63,86.77,138.84,62.00,Cra Grisi Conchnac P/Manos 80 Ml
FC-06226852,7506306226852,77827,grave,45.83,88.80,142.09,65.00,Desod Axe Wom Anarchy Spy 150Ml
FC-10974329,7891010974329,77827,grave,54.06,12.97,20.76,76.00,Enj Buc List Zero Mta Sve 250Ml
FC-20500201,810120500201,77827,grave,23.99,64.12,102.60,34.00,Sh Pert Plus Ac-Oliva 400Ml
FC-22150221,7501022150221,77827,grave,20.80,59.36,94.98,30.00,Jbn Ricitos D Oro Neutro 90 G
FC-92503558,7506192503558,77827,grave,18.39,56.61,90.58,26.00,Gel Ego Magnetic Fij-Alta 200 Ml
FC-43489004,7501943489004,77827,grave,4.48,40.73,65.17,7.00,Jbn Escudo Rosa Prot Y Cuid 110G
FC-06257597,7506306257597,77827,grave,40.24,75.70,121.12,55.00,Rexona 1O0Gr Tco Pies Efficient Orig
FC-52910971,7509552910971,77827,grave,43.58,78.22,125.16,62.00,Cra Fructis Pei B-Dano Quim 300Ml
FC-35155922,7500435155922,77827,grave,50.07,15.70,25.12,71.00,Ac Pantene Bambu 400Ml
FC-06234062,7506306234062,77827,grave,50.07,17.77,28.44,71.00,Cra Sedal Anti Nudos 300 Ml
FC-61111501,7501361111501,77827,grave,17.77,50.07,80.12,25.00,Tco Desdo Odolex 150 G
FC-56340025,7501056340025,77827,grave,50.07,18.88,30.21,71.00,Cra Sedal Sos Recon-Estru 300Ml
FC-35908130,7501035908130,77827,grave,38.18,69.19,110.71,54.00,Tco Mennen Azul 200G
FC-56340131,7501056340131,77827,grave,50.07,19.11,30.58,71.00,Cra Sedal Rizos Obedie 300Ml
FC-06249783,7506306249783,77827,grave,19.11,50.07,80.12,27.00,Sh Sedal Rizos Def Inf-Act 180Ml
FC-46073040,7509546073040,77827,grave,14.73,45.26,72.42,21.00,Sh Caprice Sp Biotina Fza 200Ml
FC-46073033,7509546073033,77827,grave,14.73,45.26,72.42,21.00,Sh Caprice Sp Acti Ceramida 200Ml
FC-46655055,7509546655055,77827,grave,50.51,20.02,32.04,71.00,Mousse Caprice Volum-Cirl 200 G
FC-75064938,75064938,77827,grave,11.95,42.24,67.59,17.00,Desod Ego Force 24H R-On 45Ml Dic26
FC-82740011,7501082740011,77827,grave,14.08,43.58,69.73,20.00,Quita Esm Nuvel Humec 125Ml
FC-75001865,75001865,77827,grave,46.64,17.54,28.07,66.00,Brill Palmol Lio 115M
FC-06209862,7506306209862,77827,grave,45.83,16.87,27.00,65.00,Deo Axe Spy 150Ml 48H Anarchy Fresh Love Fo
FC-46650708,7509546650708,77827,grave,26.30,53.99,86.39,37.00,Sh Mennen Lavan-Extrac Aven 200Ml
