pagina,codigo_prov,descripcion,lote,caducidad,cantidad,precio_lista,costo_unitario,subtotal,total
4,MAV050,PENTIBROXIL 16 CAPS 500/30 MG,262066,2028-04-01,2,150.00,30.04,60.08,60.08
4,SON136,ACROXIL-C 1 SUSP 250/8MG/5/60 ML,B2512603,2027-12-01,1,160.00,25.42,25.42,25.42
4,MAV062,PENTIVER 1 SUSP 500MG/5/60 ML,256072,2027-11-01,1,156.00,31.20,31.20,31.20
4,MAV124,FASICLOR 1 SUSP 250MG/5/75 ML,257178,2028-01-01,1,408.00,81.18,81.18,81.18
4,MAV123,FASICLOR 1 SUSP 125MG/5/75 ML,255772,2027-10-01,1,255.00,49.85,49.85,49.85
4,WAN006,MEXAPIN 1 SUSP 125MG/5/60 ML,55721,2027-12-01,1,90.00,13.93,13.93,13.93
4,MAV061,PENTIVER 1 SUSP 250MG/5/90 ML,257070,2027-12-01,1,141.00,27.06,27.06,27.06
4,SER076,AZITROMICINA 1 SUSP 200MG/5/15 ML,251985,2027-11-26,1,368.31,68.50,68.50,68.50
4,AMS492,CLARITROMICINA 10 TAB 500 MG,U26E021,2028-01-01,2,350.00,59.45,118.90,118.90
4,SON102,NALIXONE 20 TAB 500/50 MG,26030655,2028-03-01,2,438.00,63.32,126.64,126.64
4,AMS022,PENIPOT 1 FA 800000 UI,I26A003,2028-02-01,6,70.00,19.44,116.64,116.64
4,AMS265,AMOXICILINA 12 CAPS 500 MG,Q0925747,2027-09-01,5,118.00,18.37,91.85,91.85
5,ALP0300,ACIDO ACETILSALICILICO EF 20 TAB 300 MG,C380626,2028-06-30,5,99.00,19.07,95.35,95.35
5,WAN015,VANMOXOL 1 SUSP 250/15MG/5/90 ML,55406,2027-07-01,1,128.00,18.03,18.03,18.03
5,WAN009,VALCLAN 10 TAB 500/125 MG,T6079,2028-02-01,3,339.00,37.22,111.66,111.66
5,AMS398,BENCIL/BENZ COMP 1 FA 1.2 U 3 ML,I25T007,2027-06-01,5,90.00,18.07,90.35,90.35
5,AMS375,AMPICILINA 1 FA 1G/5 ML,I26M505,2028-09-01,2,120.00,25.48,50.96,50.96
5,AMS053,AMPICILINA 1 FA 500MG/2 ML,I25S506,2027-09-01,2,70.00,20.37,40.74,40.74
5,AMS344,AMPICILINA 10 TAB 1 G,Q0126016,2028-01-01,3,120.00,27.05,81.15,81.15
5,MAV111,CLAMOXIN 10 TAB 500/125 MG,261979,2028-04-01,3,291.00,48.48,145.44,145.44
5,BEA364,ACIDO ACETILSALICILICO 30 TAB 100MG,6A0130C,2028-01-01,5,95.00,14.85,74.25,74.25
5,MAV014,CLAMOXIN 12H JR 1 SUSP 400/57MG/5/50 ML,257270,2028-01-01,3,225.00,36.79,110.37,110.37
5,SON139,ACROXIL-C 12 CAPS 500/8 MG,B2602071,2028-02-01,1,168.00,24.05,24.05,24.05
5,WAN013,VANDIX 1 SUSP 250MG/5/75 ML,54232,2028-04-01,1,115.00,20.58,20.58,20.58
6,AMS501,ACIDO URSODESOXICOLICO 50 CAP 250 MG,U26F085,,1,516.00,217.23,217.23,217.23
6,WAN018,VALCLAN 10 TAB 875/125 MG,T6315,2028-05-01,3,498.00,51.18,153.54,153.54
6,AMS021,PENIPOT 1 FA 400000 UI,I25U014,2027-06-01,2,60.00,14.07,28.14,28.14
6,MAV090,CLAMOXIN 12H 10 TAB 875/125 MG,263412,2028-06-01,5,330.00,55.03,275.15,275.15
6,MAV012,CLAMOXIN 1 SUSP 250/62.5MG/5/60 ML,260027,2028-01-01,1,216.00,35.62,35.62,35.62
6,MAV270,BENEVENTOL 3 CAPS 400 MG,256213,2027-10-01,1,480.00,88.17,88.17,88.17
